user_id,item_id,rating,timestamp,category,price,brand,location,gender,age
33,25,2,2024-03-09 18:32:19,Home Appliances,144.61,Diaz Inc,Tashatown,Female,61
33,25,2,2024-03-03 23:02:39,Home Appliances,144.61,Diaz Inc,Tashatown,Female,61
53,25,2,2024-03-11 05:55:17,Home Appliances,144.61,Diaz Inc,Lake Crystalbury,Male,40
4,25,2,2024-04-08 00:12:33,Home Appliances,144.61,Diaz Inc,East Jessetown,Male,51
75,25,2,2024-06-27 02:17:03,Home Appliances,144.61,Diaz Inc,Lake Leeton,Male,32
24,25,5,2024-03-24 16:16:08,Home Appliances,144.61,Diaz Inc,Adamsborough,Female,46
24,25,3,2024-03-09 16:57:30,Home Appliances,144.61,Diaz Inc,Adamsborough,Female,46
36,25,4,2024-03-13 02:50:09,Home Appliances,144.61,Diaz Inc,South Aaron,Male,28
6,25,1,2024-02-15 05:05:49,Home Appliances,144.61,Diaz Inc,Robinsonshire,Female,53
66,25,5,2024-03-29 10:00:13,Home Appliances,144.61,Diaz Inc,North Deniseside,Female,31
84,25,1,2024-02-09 21:19:13,Home Appliances,144.61,Diaz Inc,Lake Debbie,Female,47
92,25,2,2024-05-30 10:34:13,Home Appliances,144.61,Diaz Inc,East Josephville,Female,53
20,25,4,2024-05-11 15:41:06,Home Appliances,144.61,Diaz Inc,New Jessica,Male,43
14,25,5,2024-04-12 17:24:56,Home Appliances,144.61,Diaz Inc,Lake Chad,Male,38
38,25,1,2024-02-06 15:09:23,Home Appliances,144.61,Diaz Inc,Port Colleenhaven,Male,25
50,25,1,2024-06-03 23:24:26,Home Appliances,144.61,Diaz Inc,Martinezbury,Female,29
10,25,3,2024-05-15 03:24:05,Home Appliances,144.61,Diaz Inc,North Noahstad,Female,25
13,25,5,2024-04-29 05:33:56,Home Appliances,144.61,Diaz Inc,New Kellystad,Male,57
63,25,2,2024-04-19 01:35:04,Home Appliances,144.61,Diaz Inc,Taylorburgh,Male,52
15,25,5,2024-01-31 06:59:31,Home Appliances,144.61,Diaz Inc,Port Keith,Female,33
15,25,5,2024-03-29 18:41:16,Home Appliances,144.61,Diaz Inc,Port Keith,Female,33
76,25,2,2024-04-22 04:32:40,Home Appliances,144.61,Diaz Inc,Shawhaven,Female,32
